leftXQBH,worker
375,92.6524455936
376,45.2488687783
377,314.587373411
379,60.3318250377
380,103.425985779
381,71.105365223
384,288.730876966
385,56.0224089636
387,133.591898298
389,202.542555484
390,36.63003663
391,142.210730446
392,174.531351002
393,101.271277742
394,644.257703081
395,12.9282482224
396,107.735401853
398,21.5470803706
399,135.746606335
400,372.764490412
401,161.60310278
403,79.7241973713
405,271.49321267
406,120.663650075
407,187.459599224
408,230.553759966
410,239.172592114
411,10.7735401853
412,430.941607412
413,135.746606335
414,407.239819005
415,331.825037707
416,260.719672484
417,183.15018315
418,368.455074337
419,28.0112044818
420,49.5582848524
421,592.544710192
422,258.564964447
423,293.04029304
424,631.329454859
425,189.614307261
426,68.950657186
427,107.735401853
428,21.5470803706
429,36.63003663
430,133.591898298
431,590.390002155
432,234.86317604
433,465.416936005
434,165.912518854
435,159.448394743
436,36.63003663
437,144.365438483
438,107.735401853
439,105.580693816
440,15.0829562594
441,305.968541263
442,273.647920707
443,122.818358112
444,189.614307261
446,211.161387632
447,150.829562594
448,202.542555484
449,124.97306615
450,64.6412411118
451,94.8071536307
452,116.354234001
453,174.531351002
454,4.30941607412
455,51.7129928895
456,323.206205559
457,112.044817927
458,185.304891187
459,32.3206205559
460,247.791424262
461,265.029088559
462,165.912518854
464,698.125404008
465,4.30941607412
466,635.638870933
467,90.4977375566
468,133.591898298
469,60.3318250377
470,325.360913596
471,157.293686705
472,15.0829562594
473,739.064856712
474,308.1232493
475,84.0336134454
476,127.127774187
477,101.271277742
478,71.105365223
479,486.964016376
480,719.672484378
481,323.206205559
482,708.898944193
483,66.7959491489
484,122.818358112
485,618.401206637
486,258.564964447
487,383.538030597
488,224.089635854
489,178.840767076
490,58.1771170006
491,142.210730446
492,8.61883214824
493,364.145658263
494,94.8071536307
495,2.15470803706
497,21.5470803706
498,295.195001077
499,10.7735401853
500,603.318250377
502,49.5582848524
503,407.239819005
504,920.060331825
506,17.2376642965
508,232.708468003
509,172.376642965
510,523.594053006
511,611.937082525
512,215.470803706
513,4.30941607412
514,265.029088559
515,310.277957337
516,116.354234001
518,109.89010989
519,142.210730446
521,116.354234001
522,370.609782374
524,62.4865330748
525,323.206205559
526,21.5470803706
527,51.7129928895
529,178.840767076
530,144.365438483
532,68.950657186
535,127.127774187
536,45.2488687783
537,73.2600732601
538,159.448394743
539,249.946132299
540,293.04029304
541,68.950657186
542,99.1165697048
543,99.1165697048
546,150.829562594
547,30.1659125189
548,170.221934928
549,428.786899375
551,105.580693816
553,221.934927817
555,230.553759966
557,144.365438483
558,178.840767076
559,232.708468003
560,777.849601379
561,521.439344969
563,81.8789054083
565,265.029088559
566,265.029088559
567,588.235294118
569,193.923723335
570,62.4865330748
572,155.138978668
573,4.30941607412
574,241.327300151
575,75.4147812971
576,12.9282482224
577,336.134453782
578,786.468433527
580,17.2376642965
581,64.6412411118
582,364.145658263
583,8.61883214824
584,142.210730446
585,51.7129928895
587,150.829562594
588,637.79357897
589,84.0336134454
591,226.244343891
592,73.2600732601
593,196.078431373
595,47.4035768153
596,47.4035768153
597,116.354234001
